Date,Open,High,Low,Price
"Jul 18, 2016","1,327.50","1,335.00","1,326.20","1,328.40"
"Jul 15, 2016","1,333.70","1,333.70","1,322.90","1,326.50"
"Jul 14, 2016","1,341.40","1,341.40","1,322.70","1,331.30"
"Jul 13, 2016","1,341.50","1,342.40","1,336.70","1,342.40"
"Jul 12, 2016","1,353.60","1,356.00","1,330.30","1,334.10"
"Jul 11, 2016","1,371.70","1,371.80","1,353.00","1,355.00"
"Jul 08, 2016","1,361.30","1,365.80","1,335.00","1,356.60"
"Jul 07, 2016","1,366.80","1,368.60","1,350.50","1,360.10"
"Jul 06, 2016","1,359.00","1,374.90","1,359.00","1,364.90"
"Jul 05, 2016","1,342.20","1,356.80","1,339.70","1,356.40"
"Jul 01, 2016","1,324.50","1,344.20","1,321.90","1,336.70"
"Jun 30, 2016","1,315.80","1,323.50","1,314.50","1,318.40"
"Jun 29, 2016","1,311.60","1,327.40","1,311.60","1,323.90"
"Jun 28, 2016","1,314.80","1,315.60","1,314.10","1,315.30"
"Jun 27, 2016","1,330.00","1,331.70","1,320.00","1,322.50"
"Jun 24, 2016","1,253.70","1,355.60","1,253.70","1,320.00"
"Jun 23, 2016","1,263.40","1,270.50","1,255.20","1,261.20"
"Jun 22, 2016","1,267.00","1,269.20","1,264.90","1,268.00"
"Jun 21, 2016","1,293.90","1,293.90","1,266.30","1,270.50"
"Jun 20, 2016","1,288.90","1,291.20","1,280.30","1,290.00"
"Jun 17, 2016","1,280.30","1,300.10","1,280.30","1,292.50"
"Jun 16, 2016","1,296.30","1,316.40","1,281.10","1,296.10"
"Jun 15, 2016","1,284.60","1,296.20","1,278.80","1,285.80"
"Jun 14, 2016","1,281.80","1,289.70","1,277.80","1,285.60"
"Jun 13, 2016","1,276.20","1,287.30","1,273.00","1,284.40"
"Jun 10, 2016","1,267.60","1,278.00","1,265.30","1,273.40"
"Jun 09, 2016","1,262.50","1,271.40","1,258.10","1,270.20"
"Jun 08, 2016","1,247.60","1,264.00","1,247.30","1,259.80"
"Jun 07, 2016","1,244.00","1,244.90","1,236.50","1,244.40"
"Jun 06, 2016","1,244.40","1,247.30","1,240.00","1,244.60"
"Jun 03, 2016","1,209.10","1,244.50","1,206.40","1,240.10"
"Jun 02, 2016","1,212.40","1,217.00","1,209.60","1,209.80"
"Jun 01, 2016","1,215.70","1,219.80","1,205.40","1,211.90"
"May 31, 2016","1,212.50","1,217.60","1,199.00","1,214.80"
"May 27, 2016","1,220.30","1,223.20","1,206.40","1,213.80"
"May 26, 2016","1,232.60","1,232.60","1,220.10","1,220.10"
"May 25, 2016","1,219.30","1,223.50","1,218.60","1,223.50"
"May 24, 2016","1,240.00","1,240.00","1,228.20","1,228.90"
"May 23, 2016","1,251.60","1,251.60","1,247.50","1,251.10"
"May 20, 2016","1,256.60","1,256.60","1,252.40","1,252.40"
"May 19, 2016","1,248.00","1,255.50","1,247.50","1,254.20"
"May 18, 2016","1,276.40","1,276.40","1,256.80","1,273.70"
"May 17, 2016","1,272.50","1,281.60","1,270.80","1,276.20"
"May 16, 2016","1,272.80","1,287.80","1,272.80","1,273.40"
"May 13, 2016","1,271.40","1,275.70","1,264.60","1,271.90"
"May 12, 2016","1,267.00","1,281.20","1,264.00","1,270.30"
"May 11, 2016","1,266.90","1,279.20","1,266.90","1,274.60"
"May 10, 2016","1,265.10","1,267.40","1,258.70","1,263.90"
"May 09, 2016","1,286.50","1,286.50","1,262.30","1,265.60"
"May 06, 2016","1,278.60","1,295.60","1,276.90","1,292.90"
"May 05, 2016","1,282.90","1,286.00","1,270.80","1,271.40"
"May 04, 2016","1,286.90","1,290.00","1,273.00","1,273.30"
"May 03, 2016","1,292.70","1,301.50","1,284.50","1,290.70"
"May 02, 2016","1,292.10","1,304.40","1,290.40","1,294.70"
"Apr 29, 2016","1,267.30","1,295.50","1,267.20","1,289.20"
"Apr 28, 2016","1,245.90","1,270.10","1,238.50","1,265.50"
"Apr 27, 2016","1,248.60","1,249.50","1,248.60","1,249.20"
"Apr 26, 2016","1,239.80","1,244.20","1,233.00","1,242.20"
"Apr 25, 2016","1,231.60","1,240.90","1,231.60","1,238.90"
"Apr 22, 2016","1,248.50","1,248.50","1,228.00","1,228.70"
"Apr 21, 2016","1,247.70","1,270.60","1,247.60","1,249.00"
"Apr 20, 2016","1,256.10","1,256.10","1,243.00","1,253.20"
"Apr 19, 2016","1,231.60","1,256.20","1,228.80","1,253.00"
"Apr 18, 2016","1,238.70","1,241.10","1,232.20","1,233.60"
"Apr 15, 2016","1,225.70","1,235.00","1,225.70","1,233.10"
"Apr 14, 2016","1,231.40","1,243.70","1,224.50","1,225.00"
"Apr 13, 2016","1,256.50","1,256.90","1,241.30","1,246.80"
"Apr 12, 2016","1,260.00","1,261.70","1,253.70","1,259.40"
"Apr 11, 2016","1,241.50","1,258.70","1,241.50","1,256.70"
"Apr 08, 2016","1,241.00","1,242.80","1,232.00","1,242.50"
"Apr 07, 2016","1,224.80","1,242.90","1,224.60","1,236.20"
"Apr 06, 2016","1,230.40","1,230.40","1,217.60","1,222.50"
"Apr 05, 2016","1,215.40","1,236.70","1,215.40","1,228.40"
